Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
4,12034,37746,42.06711,19.4572,0.03345,0.00758,0.0009131,61.70384
20,5831,44076,97.00082,19.22883,0.95344,0.03685,0.0119452,117.38811
50,4623,45298,206.2716,19.22313,4.20514,0.07153,0.02362512,229.95788
100,3839,45884,374.47011,18.9652,15.87172,0.13881,0.04684791,409.65737
