Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
100,0,0,0.68094,0.03891,2.76587,0.02723,4.8e-06,3.51313
215,0,0,2.90397,0.08383,12.29913,0.0531,0.00012976,15.34033
464,0,0,13.07461,0.17973,56.57811,0.11164,5.8e-06,69.94428
1000,0,0,60.60248,0.38718,262.82845,0.23904,5.92e-06,324.05737
