NrVoters,0 % revote,10 % revote,25 % revote,50 % revote,100 % revote,200 % revote
1000,1.0,1.9918181818181817,3.644,6.052666666666667,9.6195,12.673
1264,1.0,2.0136690647482016,3.7373417721518987,6.3085443037974684,9.881724683544304,13.026371308016877
1599,1.0,2.073947667804323,3.9374374374374375,6.385738115095913,10.293933708567854,13.66541588492808
2023,1.0,2.1703370786516856,4.0150316455696204,6.713249835201054,10.439199209095403,13.929807217004448
2559,1.0,2.183368869936034,4.168542839274546,6.899687337154768,10.723134036733098,14.373322912596066
3237,1.0,2.261516853932584,4.210825506673258,7.157981462409887,11.082483781278961,14.407373082071878
4094,1.0,2.3215634021763267,4.402384209497753,7.3045106660153065,11.310698583292623,15.596401237583455
5179,1.0,2.4067766853932584,4.56048200216283,7.580844490216272,11.762019694921799,15.855377486001158
6551,1.0,2.464474049403275,4.714582315583781,7.916140850803989,11.761028850557167,15.850150104309774
8286,1.0,2.4863945578231292,4.765376074152747,8.01295357631346,12.46343229543809,16.685574060664575
10481,1.0,2.5669182062624687,4.97649034424853,8.192036130017174,12.842810800496135,17.090417581019622
13257,1.0,2.6481278288300643,5.1304688914368475,8.38013578073925,12.966319680168967,17.725629227326444
16768,1.0,2.682661027976578,5.210496183206107,8.752624045801527,13.491203482824428,18.044111800254452
21209,1.0,2.7051738179947704,5.338991362076119,9.013642221733253,13.786435004007732,18.585348987065238
26826,1.0,2.8155076589399486,5.456578790409162,8.951291036059544,14.17891224931037,18.689281542781877
33932,1.0,2.8681848626925652,5.6349168926087465,9.316063499548116,14.339487799127667,19.23526464694094
42919,1.0,2.8984537174327474,5.78293692215926,9.501118394482587,14.72661292201589,19.71076523994812
54286,1.0,2.964949593060254,5.7714900452422,9.761878446253792,14.975186972700143,20.124857237593485
68664,1.0,3.0426850258175557,5.970872655248748,9.990009320750321,15.352710299429104,20.653845780418656
86851,1.0,3.10285128119243,6.074233394434568,10.161948478614633,15.57313099446178,20.4543528571922
109854,1.0,3.167636276367729,6.280103701653838,10.329285536560647,15.971239099167986,21.076052457504204
138949,1.0,3.224066525781357,6.412721808320763,10.577181980875432,16.375396728295993,21.78006078969022
175751,1.0,3.2573787281586544,6.48189705400386,10.745358955489975,16.299289904467116,21.89283323186402
222299,1.0,3.3024111758162666,6.577972670968392,10.965769775197332,16.81645666422251,22.68920088109558
281176,1.0,3.3828311665637436,6.728417788146926,11.215613471040676,17.151454960594076,23.35180219269544
355648,1.0,3.4491222150649774,6.869740867374483,11.432547537640213,17.554908223861794,23.272165174554615
449843,1.0,3.481998759162293,6.9605906424116535,11.514325008447399,17.835330326358307,23.823327990728618
568986,1.0,3.5304305590173257,7.121185492216323,11.736956621076793,18.21316605329481,24.25313159433331
719685,1.0,3.5970658861900353,7.244385875594427,12.12654245794686,18.452837699827008,24.740536021546465
910298,1.0,3.6687295958263384,7.357800350127255,12.179619567804536,18.840604944754354,25.207843658523547
1151395,1.0,3.718713433670158,7.4811348743749315,12.458488024957559,19.243484642542306,25.822619518062872
1456348,1.0,3.8046850713678433,7.653565768621236,12.603994374970817,19.48468429249053,25.992318456852345
1842069,1.0,3.8391733599832203,7.707615698175877,12.946453679070233,19.61267547524007,26.701490371243786
2329951,1.0,3.914119922932438,7.893087509502348,13.16351590849134,20.16852221355728,26.472351564474963
2947051,1.0,3.9299793075111142,7.946181578706629,13.295889494943646,20.231898769312103,27.316140213838626
3727593,1.0,4.024568134638197,8.144734907739922,13.643033242723767,20.761928810361002,27.762657654237824
4714866,1.0,4.065115518576448,8.277776062163893,13.736323648081056,20.810962071880727,27.93626259297012
5963623,1.0,4.171848258799372,8.384297302257098,13.979662473615031,21.34000631830684,28.733391318219365
7543120,1.0,4.173497414621777,8.597836863260826,14.199584698816052,21.55780081716849,29.257985731810358
9540954,1.0,4.248092410049729,8.632027976742283,14.180071860039712,21.893577570964077,29.44037717122767
12067926,1.0,4.352361609489558,8.78317685352651,14.519984019347373,22.35090648550546,30.289202248450422
15264179,1.0,4.34001872238484,8.906385161221648,14.81487367286232,22.676561150128023,30.19334178842286
19306977,1.0,4.457296312204434,9.040668448930855,15.034074487408956,22.8462947876304,30.752534209092737
24420530,1.0,4.488298239971934,9.179286267403471,15.223837183986861,23.531156510526184,31.301467917908962
30888435,1.0,4.5465956984547145,9.316583374649769,15.424303145867842,23.720349768448937,31.38666878612227
39069399,1.0,4.5998846388447525,9.424304419286885,15.55969399955614,24.023280368351713,32.22790370199108
49417133,1.0,4.7285292627440985,9.592130152884952,15.979674282734251,24.174808886626426,32.70648488113087
62505519,1.0,4.720638570529118,9.63420272985049,16.11167465127719,24.498573397974667,32.52211270602627
79060432,1.0,4.807794072370991,9.800098800370835,16.321883998812453,24.881673926345357,33.47934372531635
100000000,1.0,4.823380918181818,9.975639832,16.41787284666667,25.462818415,33.480558183333336
