NrVoters,1.0 votes/min,6.0 votes/min,60.0 votes/min,694444444444444.4 votes/min
1000,6.052666666666667,6.052666666666667,6.052666666666667,6.052666666666667
1264,6.3085443037974684,6.3085443037974684,6.3085443037974684,6.3085443037974684
1599,6.385738115095913,6.385738115095913,6.385738115095913,6.385738115095913
2023,6.713249835201054,6.713249835201054,6.713249835201054,6.713249835201054
2559,6.899687337154768,6.899687337154768,6.899687337154768,6.899687337154768
3237,7.028836251287332,7.157981462409887,7.157981462409887,7.157981462409887
4094,7.109102751994789,7.3045106660153065,7.3045106660153065,7.3045106660153065
5179,7.152806385169928,7.580844490216272,7.580844490216272,7.580844490216272
6551,7.239364950132302,7.916140850803989,7.916140850803989,7.916140850803989
8286,7.205004425134765,8.01295357631346,8.01295357631346,8.01295357631346
10481,7.287704344507347,8.192036130017174,8.192036130017174,8.192036130017174
13257,7.284888106613025,8.38013578073925,8.38013578073925,8.38013578073925
16768,7.304031488549619,8.752624045801527,8.752624045801527,8.752624045801527
21209,7.333637192342753,8.652469116398956,9.013642221733253,9.013642221733253
26826,7.310966972340267,8.780188374462586,8.951291036059544,8.951291036059544
33932,7.332134857951196,8.905831270383905,9.316063499548116,9.316063499548116
42919,7.352496194352108,8.888315884308303,9.501118394482587,9.501118394482587
54286,7.352343759594247,8.904726817227278,9.761878446253792,9.761878446253792
68664,7.356373063031574,8.90813235465455,9.990009320750321,9.990009320750321
86851,7.359037735269735,8.948248334305628,10.161948478614633,10.161948478614633
109854,7.36586135537471,8.93717115444135,10.329285536560647,10.329285536560647
138949,7.358295389664288,8.964653613084929,10.577181980875432,10.577181980875432
175751,7.365813690607148,8.943981246159332,10.745358955489975,10.745358955489975
222299,7.364518605599674,8.95439468822725,10.805202010508385,10.965769775197332
281176,7.365118881649453,8.963726159653266,10.939103384831327,11.215613471040676
355648,7.364881380840981,8.976699808049908,10.950525988243056,11.432547537640213
449843,7.364798655529934,8.975637408041923,10.891584316887089,11.514325008447399
568986,7.365819194145375,8.986772961021888,10.9728464320739,11.736956621076793
719685,7.365580481081066,8.984916542152257,10.985520510371671,12.12654245794686
910298,7.367128859633512,8.98498293965273,10.999136546493565,12.179619567804536
1151395,7.366668365089989,8.98729135448488,10.98294184675744,12.458488024957559
1456348,7.366819377419866,8.984824597783863,11.025914135907078,12.603994374970817
1842069,7.366858202535338,8.985673715384479,10.99764540084101,12.946453679070233
2329951,7.367102765552118,8.986996863452903,11.035401321801949,13.16351590849134
2947051,7.367257343839355,8.986899670993102,11.033660545594058,13.295889494943646
3727593,7.367350581402939,8.986719221288306,11.024036424580725,13.643033242723767
4714866,7.367338541540735,8.987146753834926,11.0267536765626,13.736323648081056
5963623,7.367454614275842,8.987445326856136,11.034940954234305,13.979662473615031
7543120,7.367408269610807,8.988300155196612,11.034217317679333,14.199584698816052
9540954,7.367481420970412,8.988038862081646,11.035498686329829,14.180071860039712
12067926,7.367461318539739,8.98837375480537,11.035317584811176,14.519984019347373
15264179,7.367496397229452,8.988139202423731,11.037814546894717,14.81487367286232
19306977,7.367510190185137,8.988538236523482,11.038184504288864,15.034074487408956
24420530,7.367509250072241,8.988640978171508,11.038903004971637,15.223837183986861
30888435,7.367516519451552,8.988661020310255,11.038028019635052,15.424303145867842
39069399,7.367538478281843,8.988520666251018,11.038938317931281,15.55969399955614
49417133,7.36752191706145,8.988626454638897,11.03889791312457,15.979674282734251
62505519,7.367544698293201,8.988623639184159,11.038951579294151,16.11167465127719
79060432,7.367538720253894,8.988622424931854,11.038957304626583,16.321883998812453
100000000,7.3675437,8.988659433333334,11.039737706666667,16.41787284666667
