NrVoters,0.01 %,0.05 %,0.1 %,1.0 %
1000,2.780666666666667,4.188666666666666,4.712666666666666,6.052666666666667
1264,3.0917721518987342,4.59704641350211,5.109177215189874,6.3085443037974684
1599,3.1296914095079233,4.674311926605505,5.18348623853211,6.385738115095913
2023,3.4983520105471326,4.915622940013184,5.429795649307844,6.713249835201054
2559,3.747264200104221,5.242834809796769,5.816831683168317,6.899687337154768
3237,3.933676622039135,5.369927909371782,5.9062821833161685,7.157981462409887
4094,4.099332356293763,5.602507734896597,6.1042175541442765,7.3045106660153065
5179,4.49562306900103,5.982878475798146,6.5135169927909375,7.580844490216272
6551,4.638510075310401,6.146142886220232,6.675859963362508,7.916140850803989
8286,4.763456432536809,6.164051814305254,6.6794593289886555,8.01295357631346
10481,5.0515870491699,6.458813052604796,7.020545766808727,8.192036130017174
13257,5.276389238119186,6.589439275836058,7.146592909228062,8.38013578073925
16768,5.533675254452926,6.9336832061068705,7.519004452926208,8.752624045801527
21209,5.520479049445195,6.919058246628737,7.518970232294974,8.652469116398956
26826,5.64611446606526,7.046944506573225,7.646810308407266,8.780188374462586
33932,5.728240795316123,7.109454202522692,7.679712365908287,8.905831270383905
42919,5.716253999813601,7.069122992326571,7.654944235608438,8.888315884308303
54286,5.741725920740768,7.085755689005145,7.671370150683417,8.904726817227278
68664,5.745660025632064,7.08913938405375,7.674764068507515,8.90813235465455
86851,5.785785562958641,7.129217968006387,7.7149513340907,8.948248334305628
109854,5.774737378702642,7.118108277046504,7.703837214241934,8.93717115444135
138949,5.80000767669595,7.1456413159776035,7.731291652072948,8.964653613084929
175751,5.781667969016713,7.1249421528984245,7.710665867554794,8.943981246159332
222299,5.791883592044337,7.135310453204098,7.721053957438641,8.95439468822725
281176,5.801244297758936,7.144623533540084,7.730380022951224,8.963726159653266
355648,5.814278912482754,7.157646511906904,7.743352978225661,8.976699808049908
449843,5.8132339603179775,7.156610311160643,7.742308421907511,8.975637408041923
568986,5.824372948836468,7.1677393351213095,7.753437401506071,8.986772961021888
719685,5.822476881078472,7.165865235422551,7.7515810165007455,8.984916542152257
910298,5.822565797134565,7.165922954168122,7.751646896584049,8.98498293965273
1151395,5.824900468533234,7.168240024272014,7.753958677360558,8.98729135448488
1456348,5.822450861103711,7.165779516068046,7.751487968534993,8.984824597783863
1842069,5.82328925125122,7.166624624561589,7.752338222643166,8.985673715384479
2329951,5.824617745840684,7.167946617467723,7.753664884463935,8.986996863452903
2947051,5.824516307377138,7.16785256039032,7.753567408410126,8.986899670993102
3727593,5.824334883514633,7.167670859602149,7.753385786608659,8.986719221288306
4714866,5.824763913403548,7.168098803514953,7.753813151847794,8.987146753834926
5963623,5.825066508790965,7.168397978231129,7.7541123214368355,8.987445326856136
7543120,5.82591818769952,7.169250478139904,7.754966026436453,8.988300155196612
9540954,5.825659292910681,7.168991067350288,7.754705521760892,8.988038862081646
12067926,5.8259930220542175,7.169326637678532,7.755040316510614,8.98837375480537
15264179,5.825757105917873,7.16909105012223,7.754805761358139,8.988139202423731
19306977,5.826156417032668,7.169490372478481,7.755204759315847,8.988538236523482
24420530,5.826260118023646,7.169593370823647,7.755307494691284,8.988640978171508
30888435,5.8262809346635285,7.169613386257277,7.7553277114377135,8.988661020310255
39069399,5.826139410933345,7.169472790111026,7.755187290827341,8.988520666251018
49417133,5.82624544289289,7.169578663939479,7.755293113660891,8.988626454638897
62505519,5.826243353146908,7.169575981333616,7.755290279542037,8.988623639184159
79060432,5.8262417454705195,7.169574779623432,7.755289076420259,8.988622424931854
100000000,5.826277926666667,7.16961164,7.75532604,8.988659433333334
